source,target,weight
COTY,EA,0.5242198571617205
COTY,NVDA,0.4864991117184632
COTY,TJX,0.401291042632435
COTY,HCA,0.3976085482777825
COTY,NFX,0.3462696831196572
COTY,SPG,0.34177471657738623
COTY,BA,0.34077895181153856
COTY,AES,0.33655390908104704
COTY,HES,0.334546550746153
COTY,EOG,0.33415324034678423
COTY,COG,0.32757955645299364
COTY,CXO,0.32492994535521097
COTY,VTR,0.3240003011653292
COTY,PCLN,0.3233977533030849
COTY,AGN,0.3173677305727949
COTY,KMB,0.3130987071541823
COTY,CHD,0.3006155285479068
COTY,WMB,0.29810171702562344
COTY,KMI,0.2931866407767023
COTY,RSG,0.28954403854425304
COTY,BHF,
COTY,DWDP,
COTY,APTV,
COTY,BHGE,
CSRA,MET,0.5991351814889473
CSRA,TEL,0.5858031712458267
CSRA,APH,0.5716571547389534
CSRA,PNC,0.548248945202231
CSRA,PRU,0.5482308771980461
CSRA,EXPE,0.5405953580905005
CSRA,BBY,0.5385141292793162
CSRA,AJG,0.5266705623670213
CSRA,SCHW,0.5257959297500079
CSRA,GRMN,0.5246681119826364
CSRA,WRK,0.5234485408507674
CSRA,WU,0.522502760946313
CSRA,PFG,0.5221279001535006
CSRA,ACN,0.5204777015387817
CSRA,MTB,0.5187372826810493
CSRA,RJF,0.5178450282901207
CSRA,ETFC,0.5146979627862522
CSRA,BK,0.5128954906505908
CSRA,IVZ,0.5091738416111755
CSRA,CMA,0.5048283649272894
CSRA,PDCO,0.44439891208863314
CSRA,WLTW,0.47163352214906723
CSRA,INCY,0.3228133790575093
CSRA,CTSH,0.3827479978510306
CSRA,HRL,0.29612083421045876
CSRA,ICE,0.4886096376172957
CSRA,FIS,0.47678235518200096
CSRA,HPE,0.38691825834771953
CSRA,BHF,
CSRA,TWX,0.4548902029500307
CSRA,DWDP,
CSRA,APTV,
CSRA,SEE,0.3680705951480395
CSRA,BHGE,
CSRA,NDAQ,0.46805338619618575
T,VZ,0.690376758170866
T,XRX,0.6057062996682886
T,TWX,0.5707689077207809
T,DISCA,0.5220539781813884
T,DISCK,0.49514888019453007
T,SNI,0.4870069099375808
T,SYK,0.44434171749439927
T,SCG,0.420742380993813
T,GE,0.4168055624435897
T,OXY,0.41247271767390026
T,DUK,0.4094237487796916
T,FOXA,0.4060965879164919
T,ANTM,0.40417350955434167
T,AWK,0.40304881608876936
T,FOX,0.3994519405887897
T,PVH,0.39237240528017836
