symbol,kmeans_cluster,sector_label,x,y
COTY,1,8,25.32341734676177,-5.713237328097049
CSRA,4,8,28.740211629147815,-16.935716736546805
T,3,0,8.660842936757218,7.3098996374669625
UNM,0,9,-24.16993603979412,-8.031193154429562
XYL,5,8,-13.368527522433972,-2.209257214738641
AJG,8,5,-21.04830607679244,6.4143547356768496
WFC,0,4,-23.697269616193427,-3.3032643117317653
AIV,3,5,11.60819185477566,17.180663194186135
LLY,6,7,7.0519029815599925,3.198191033946112
ZION,0,5,-17.57507466391446,-13.42614181973718
ATVI,6,5,7.187150845804745,-0.05872064157383424
PDCO,2,9,0.878876069846694,1.0615353871196946
QRVO,6,8,11.66967351141261,-12.034491546617964
AME,0,5,-26.88009072416886,-0.21489332143755535
AVGO,5,5,-4.690972948102302,-4.812518682017304
XOM,5,8,-8.606766892741968,-0.4861519739589946
SPGI,8,1,-21.214476051492603,2.8860292529813063
RTN,2,2,-1.9417048236870393,5.741832157201094
VRTX,6,6,11.596958109104241,-6.754950121942222
WYN,8,4,-16.543856400170625,1.4063810294905097
DVN,7,1,2.976702216492731,-14.800125961100578
AET,6,5,-0.7081967860852546,-1.2529967213090691
NFLX,1,4,17.050013399727014,-8.106244005733387
CHTR,6,8,11.23768774829583,-3.0800568760414846
FBHS,8,4,-13.68107985515297,1.9716349181651085
LB,1,7,11.198885966637185,-4.001716970741119
PYPL,6,9,13.609305436296875,-6.035150561312193
NCLH,6,4,4.918611176482784,-4.215036202213219
ORLY,1,0,7.368760051731457,2.27890500419311
VRSK,2,6,-2.1458333296337178,2.0160395991273723
PCG,9,9,30.14474754773928,13.523835498609529
XRAY,2,8,-8.112694058393819,4.322458055713318
UDR,3,9,11.664814249128463,17.059853935779397
TROW,0,0,-27.32639611539278,2.0389459516194557
GLW,8,2,-12.101271089156262,-0.14614359088700488
GPC,8,2,-15.110600609332819,5.4270425625653544
XEC,7,8,2.1480939777984607,-12.659780229395492
WM,2,4,-3.802943721213767,11.236584526826388
HAL,7,6,-2.531276108969378,-11.463236106955707
SYF,1,1,8.653180026061985,-12.758643090919712
EIX,9,3,29.487297188314784,15.794960746916527
JEC,5,5,-14.174788039557352,-5.3493444342651
MSFT,2,6,-3.5300048298720483,2.8723340692659898
FOXA,5,4,-0.9433285879824677,-4.420077466118931
HLT,4,6,41.533350105992085,-16.56303954502764
MAR,8,6,-19.02646739418935,3.443907681792597
BAC,0,4,-21.670857490789064,-11.267824509001729
RCL,2,2,-6.614345374284459,-1.2311854259596964
APH,8,5,-21.909221425413705,5.012190065342849
DISH,6,1,2.8395496896547674,-6.598702964596141
AMT,3,5,0.9395917861051387,14.0992483667459
GILD,6,2,2.163585640443464,-2.1756048478159196
UPS,8,9,-14.085452759157654,4.626202976128787
UNH,2,9,-3.02648895566894,2.975606747003541
V,8,6,-16.086428275264144,5.48388598563288
DISCA,1,1,17.7458649390832,-10.901126750146283
ULTA,1,9,20.69848687002677,-6.692202858501594
ALLE,2,5,-9.238887571634256,-0.3564960534787056
MRK,6,6,6.801881799866833,0.4450589306554617
DIS,8,1,-12.575777303490028,2.939433653881112
WBA,6,4,4.877131420444743,3.233647783326882
VFC,2,6,-5.776493898629659,0.2712231864705776
PLD,3,9,-5.934061806933934,19.536182128895067
WEC,9,4,26.158475570918352,22.153315571034906
MKC,3,6,4.092797705330278,16.077637772158955
FCX,7,4,5.229967093295534,-13.97929904193912
HST,8,6,-13.899894694408303,5.411491813802988
ADS,5,5,-5.993519600755405,-4.508515915885575
HRB,1,6,12.849394890524916,-4.652149539534495
APC,7,5,0.0944713139547845,-12.114046871694113
BIIB,6,4,4.25340128936262,-4.302076196250508
IBM,5,8,-3.08612484878735,-0.5124790393864538
WYNN,6,4,6.876485481793955,-8.401296983051939
CMCSA,2,8,-6.553736497467514,2.5003909135046274
CELG,6,8,-1.679032908582671,-1.3462377844530962
EA,6,3,12.709186376117131,-2.4626051269085116
CTAS,8,8,-13.48113035603806,4.5450122505168755
PM,3,9,6.43968145226242,14.235977943148246
EXC,9,3,23.13764589879394,10.494660136420281
MCK,6,6,7.189390805159232,-5.991075276291782
DHR,5,1,-9.753436751983228,0.4510598380013062
FAST,5,4,-7.281678468094472,-3.801377905247267
CERN,2,8,-2.4541068400322485,0.7696515289946398
CFG,5,8,-2.011155220376114,-17.405473607030164
ED,9,3,36.85747229960082,20.24726758919842
LYB,5,7,-10.509918814473794,-9.301007389188515
OKE,7,0,6.423109191457729,-6.977929501357022
WRK,7,4,6.002853702846561,-11.293276488338508
HES,7,6,1.1828709148495664,-13.197424213150658
PRGO,1,9,20.043213281211194,-10.409195860080791
DTE,9,1,21.233587387477485,22.451574209356618
CLX,3,8,14.956113111924324,16.327530734884412
MAT,1,6,21.391916378152825,-5.853718743523409
KMX,5,3,-7.414516031538582,-4.704029582320454
EXPD,5,3,-2.4557646903818777,-0.23942860743395758
DGX,2,1,-1.6331874945041653,1.9566379295654337
PBCT,0,9,-16.06026730974575,-6.719241765665723
NAVI,1,4,8.369649613653252,-14.332870202652378
PFG,0,9,-33.33004631312649,0.07194886869804545
LLL,2,7,-3.480199891652709,2.3244742206269975
SHW,2,1,-9.180969920700683,2.4090106099712187
WLTW,1,4,16.870609724882943,-11.915895894595495
VLO,6,6,1.6919353901723828,-4.739281750142019
CA,8,8,-12.99972899298971,3.3127694699720784
FITB,0,4,-20.375966203522093,-9.599962782972632
CF,7,8,14.464649499454689,-16.565728413971705
IVZ,0,8,-32.20212206816538,-0.4557815657213265
D,9,1,21.348930801151837,17.62572592385173
UAL,6,9,4.079920240757218,-6.559577324890255
CPB,3,8,16.334352085600987,11.970160268105941
XEL,9,8,25.04336454506106,22.640191628228326
ALGN,6,5,4.542563981425884,-3.7011404670280936
BLL,2,4,-6.238619340097773,4.803957911547995
